USA M James Kramer --
LKA M Janul De Silva --
ENG M Jared Robinson --
USA M Jason Katz-Brown --
CAN M Jason Ubeika --
LKA M Jayaska Baranage --
CAN M Jeremy Hildebrand --
ENG M Joel Davey --
AUS M John Spaan --
LBR M Jonathan Wesley --
LKA M Lakshan Wanni --
UGA M Lawrence Onyoin --
NZL M Lyres Freeth --
KEN M Manase Otieno --
THA M Manop Phiphat --
MYS M Martin Teo --
USA M Marty Gabriel --
THA M Marut Siriwangso --
USA M Matthew Bernardina --
SGP M Michael Tang --
USA M Mohammad Sulaiman --
IND M Mohan Chunkath --
AUS M Mythili Rudra --
IND M Nakul Prabhu --
ENG M Natalie Zolty --
THA M Natthakorn Siriwatt --
THA M Natthanon Limthongka --
CAN M Nick Ball --
ENG M Nick Deller --
AUS M Nick Ivanovski --
CAN M Noah Slatkoff --
NGA M Noble Onoshevwe --
PHL M Odette Rio --
NGA M Olaribigbe Hakeem --
MYS M Ong Suanne --
NGA M Osikhena Ojior --
THA M Pesol Kosalakood --
KEN M Philip Mutinda --
UGA M Phillip Edwin-Mugish --
THA M Preedee Khongthanara --
MYS M Pui Cheng Wui --
USA M Puneet Sharma --
POL M Rafal Dominiczak --
IND M Rahil Parkar --
IND M Ranganathan Chakrav --
AUS M Richard Jeremy --
KEN M Richard Okechi --
USA M Robert Linn --
AUS M Rod Talbot --
SCO M Ross Mackenzie --
AUS M Ryan Sutton --
NGA M Salau Samson --
IND M Samrath Singh Bhatia --
ENG M Samuel Crispin --
NGA M Segun Durojaiye --
THA M Sinatarn Pattanasuwa --
PAK M Sohaib Sanaullah --
KEN M Stanley Njoroge --
USA M Stefan Kac --
USA M Stefan Rau --
IND M Steve Polatnick --
ZAF M Steven Gruzd --
IND M Sujana Somasekar --
NGA M Sunday Oshodi --
IND M Sunny Bhatia --
MYS M Tan Zi Kang --
ENG M Terry Kirk --
PHL M Theodoro Martus --
THA M Thitipol Barameemuan --
KEN M Tobias Outi --
AUS M Tony Hunt --
CAN M Tony Leah --
SGP M Tony Sim --
AUS M Trevor Tao --
NGA M Tuoyo Mayuku --
AUS M Victor Tung --
SCO M Vincent Boyle --
ENG M Wale Fashina --
THA M Wanchana Jirapitikul --
THA M Weera Saengsit --
USA M Winter --
THA M Wittayawut Waiprom --
SGP M Wolfram Poh --
MYS M Yi En Gan --
IRE -- Ademola Ajayi **
PAK -- Ahmed Salman **
NLD -- Anand Buddhdev **
ENG -- Andrew Goodwin **
SGP -- Andy Kurnia **
THA -- Charae Worapotpisut **
IND -- Charles Carneiro **
NGA -- Curtis John **
PAK -- Daniyal Sanaullah **
NGA -- Ehibudu Chukwudi **
SLE -- Emmanuel King **
USA -- Eric Kinderman **
HKG -- Ernest So Yat Long **
NGA -- Gbadebo Olufemi **
IND -- Hriday Samtani **
ENG -- Jessica Pratesi **
AUS -- John Holgate **
LBR -- Joseph Gegeh **
USA -- Kevin Fraley **
PHL -- Leonora Labog **
ENG -- Martin Harrison **
AUS -- Max Mason **
SLE -- Mohamed Kamara **
THA -- Nawapadol Sayavesa **
KEN -- Nicholas Mbugua **
BAR -- Orlet Bullock **
THA -- Pannawit Prasoppanit **
NZL -- Patrick Carter **
NZL -- Peter Sinton **
USA -- Quinn James **
ENG -- Robert Richland **
LBR -- Roland Boykai **
IRE -- Ronan Webb **
AUS -- Ronnie Bennett **
ENG -- Stewart Houten **
CAN -- Sumeet Sachdev **
THA -- Thanapong Kukiet **
GHA -- Ubiedi Stanley **
SGP -- Wong Zhi Yuan **
IND -- A Krishnan *
NGA -- Abdulqudus Olawale A *
ENG -- Ahmed Khan *
IDN -- Alexander Gozali *
LBR -- Alvin Roberts *
USA -- Amit Chakrabarti *
IND -- Amit Sood *
AUS -- Carmel Dodd *
MLT -- Charles Micallef *
USA -- Charles Reinke *
THA -- Charnwit Iamudom *
MYS -- Cheong Yi Wei *
KEN -- Chris Okioma *
GHA -- Christian Mensah *
NGA -- Dipo Akanbi *
ENG -- Dokun Esan *
NGA -- Eniekebi Ezekiel *
ZAF -- Harry Wiggins *
LKA -- Hivin Dilmith *
ENG -- Howard Wilde *
ZAF -- Jarrod Page *
CAN -- Jesse Matthews *
KEN -- Joash Manyasa *
MYS -- Jocelyn Lor *
NGA -- Joseph Okere *
PHL -- Jowar Ayuno *
AUS -- Karen Richards *
KEN -- Kevin Musyoka *
ENG -- Kwaku Sapong *
USA -- Laurie Cohen *
NZL -- Lewis Hawkins *
THA -- Manat Panmanee *
AUS -- Michael McKenna *
PAK -- Muhammad Shahbaz *
