,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
290,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999997,0.999996,0.999995,0.999993,0.999991,0.999989,0.999986,0.999983,0.999979,0.999976,0.999971,0.999966,0.999959,0.999951,0.999944,0.999936,0.999925,0.999917,0.999904,0.999891,0.999881,0.999863,0.999848,0.999834,0.999813,0.999785,0.999776,0.999759,0.999728,0.999704,0.999667,0.999657,0.999599,0.999580,0.999558,0.999522,0.999488,0.999420,0.999412,0.999302,0.999325,0.999277,0.999216,0.999164,0.999138,0.999038,0.999047,0.998965,0.998914,0.998806,0.998734,0.998715,0.998646,0.998660,0.998554,0.997748,0.998212,0.997946,0.997648,0.997898,0.997925,0.997799,0.996647,0.997221,0.997554,0.995995,0.996534,0.994536,0.995176,0.995440,0.996122,0.996160,0.995560,0.990345,0.992854,0.986787,0.991510,0.993787,0.956776,0.983915,0.999874,0.513353,0.556054
289,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999996,0.999996,0.999995,0.999992,0.999991,0.999988,0.999985,0.999982,0.999979,0.999975,0.999970,0.999965,0.999958,0.999950,0.999942,0.999934,0.999923,0.999914,0.999901,0.999888,0.999877,0.999859,0.999844,0.999829,0.999808,0.999779,0.999770,0.999752,0.999721,0.999697,0.999659,0.999648,0.999589,0.999569,0.999547,0.999510,0.999475,0.999406,0.999398,0.999286,0.999309,0.999260,0.999197,0.999145,0.999118,0.999016,0.999026,0.998942,0.998890,0.998780,0.998706,0.998687,0.998617,0.998632,0.998523,0.997703,0.998176,0.997904,0.997602,0.997857,0.997884,0.997755,0.996584,0.997168,0.997506,0.995923,0.996470,0.994444,0.995093,0.995361,0.996053,0.996091,0.995483,0.990202,0.992740,0.986602,0.991377,0.993683,0.956359,0.983691,0.999870,0.513353,0.556054
288,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999996,0.999996,0.999995,0.999992,0.999990,0.999988,0.999985,0.999982,0.999978,0.999974,0.999969,0.999963,0.999957,0.999948,0.999940,0.999932,0.999921,0.999911,0.999898,0.999885,0.999873,0.999855,0.999840,0.999824,0.999803,0.999773,0.999764,0.999746,0.999713,0.999689,0.999650,0.999639,0.999578,0.999558,0.999536,0.999498,0.999462,0.999392,0.999383,0.999269,0.999293,0.999243,0.999179,0.999125,0.999098,0.998994,0.999004,0.998918,0.998866,0.998754,0.998678,0.998659,0.998588,0.998602,0.998492,0.997658,0.998139,0.997862,0.997556,0.997814,0.997842,0.997711,0.996521,0.997114,0.997457,0.995850,0.996406,0.994351,0.995008,0.995280,0.995982,0.996021,0.995404,0.990056,0.992625,0.986413,0.991242,0.993578,0.955937,0.983463,0.999866,0.513353,0.556054
287,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999996,0.999996,0.999996,0.999995,0.999992,0.999990,0.999987,0.999984,0.999981,0.999977,0.999973,0.999967,0.999962,0.999955,0.999946,0.999939,0.999930,0.999918,0.999909,0.999895,0.999881,0.999870,0.999851,0.999835,0.999819,0.999797,0.999766,0.999757,0.999739,0.999706,0.999680,0.999641,0.999629,0.999567,0.999547,0.999524,0.999485,0.999449,0.999377,0.999369,0.999251,0.999276,0.999225,0.999160,0.999105,0.999077,0.998971,0.998981,0.998894,0.998841,0.998727,0.998650,0.998630,0.998558,0.998572,0.998460,0.997611,0.998100,0.997820,0.997508,0.997770,0.997799,0.997666,0.996457,0.997059,0.997408,0.995776,0.996340,0.994256,0.994922,0.995197,0.995911,0.995950,0.995324,0.989908,0.992507,0.986223,0.991105,0.993470,0.955512,0.983233,0.999862,0.513353,0.556054
286,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999996,0.999996,0.999996,0.999994,0.999992,0.999990,0.999987,0.999984,0.999980,0.999976,0.999972,0.999966,0.999961,0.999954,0.999944,0.999937,0.999928,0.999915,0.999906,0.999892,0.999878,0.999866,0.999846,0.999830,0.999814,0.999792,0.999760,0.999751,0.999732,0.999698,0.999672,0.999631,0.999620,0.999556,0.999536,0.999512,0.999473,0.999436,0.999362,0.999353,0.999234,0.999259,0.999207,0.999140,0.999085,0.999056,0.998948,0.998958,0.998869,0.998815,0.998699,0.998621,0.998600,0.998527,0.998542,0.998428,0.997564,0.998061,0.997776,0.997459,0.997726,0.997755,0.997620,0.996391,0.997003,0.997357,0.995700,0.996273,0.994159,0.994835,0.995114,0.995838,0.995878,0.995242,0.989758,0.992388,0.986029,0.990966,0.993361,0.955082,0.982999,0.999858,0.513353,0.556054
285,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999997,0.999996,0.999996,0.999995,0.999994,0.999991,0.999989,0.999986,0.999983,0.999980,0.999975,0.999971,0.999965,0.999960,0.999952,0.999943,0.999935,0.999925,0.999913,0.999903,0.999888,0.999874,0.999862,0.999842,0.999825,0.999809,0.999786,0.999753,0.999744,0.999724,0.999690,0.999663,0.999622,0.999610,0.999545,0.999524,0.999500,0.999459,0.999422,0.999347,0.999338,0.999216,0.999242,0.999188,0.999120,0.999064,0.999035,0.998924,0.998935,0.998844,0.998789,0.998670,0.998591,0.998570,0.998495,0.998511,0.998394,0.997515,0.998022,0.997731,0.997410,0.997681,0.997710,0.997572,0.996325,0.996946,0.997306,0.995624,0.996205,0.994061,0.994746,0.995029,0.995763,0.995804,0.995160,0.989605,0.992267,0.985833,0.990824,0.993250,0.954649,0.982762,0.999854,0.513353,0.556054
284,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999997,0.999996,0.999996,0.999995,0.999994,0.999991,0.999989,0.999986,0.999982,0.999979,0.999974,0.999970,0.999964,0.999958,0.999951,0.999941,0.999932,0.999923,0.999910,0.999900,0.999885,0.999870,0.999858,0.999837,0.999820,0.999803,0.999780,0.999747,0.999737,0.999717,0.999682,0.999654,0.999612,0.999600,0.999534,0.999512,0.999487,0.999446,0.999407,0.999331,0.999322,0.999197,0.999224,0.999169,0.999100,0.999042,0.999013,0.998900,0.998911,0.998818,0.998762,0.998641,0.998560,0.998539,0.998463,0.998479,0.998360,0.997466,0.997981,0.997686,0.997359,0.997634,0.997665,0.997524,0.996256,0.996888,0.997253,0.995545,0.996136,0.993961,0.994655,0.994942,0.995688,0.995729,0.995075,0.989450,0.992145,0.985634,0.990681,0.993138,0.954212,0.982522,0.999849,0.513353,0.556054
283,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999997,0.999996,0.999995,0.999995,0.999994,0.999990,0.999988,0.999985,0.999982,0.999978,0.999974,0.999969,0.999963,0.999957,0.999949,0.999939,0.999930,0.999920,0.999907,0.999897,0.999881,0.999867,0.999854,0.999833,0.999815,0.999798,0.999774,0.999740,0.999729,0.999709,0.999673,0.999645,0.999602,0.999589,0.999522,0.999500,0.999474,0.999432,0.999393,0.999315,0.999305,0.999178,0.999205,0.999149,0.999079,0.999020,0.998990,0.998875,0.998886,0.998792,0.998735,0.998612,0.998529,0.998508,0.998430,0.998446,0.998325,0.997416,0.997940,0.997639,0.997308,0.997587,0.997618,0.997475,0.996187,0.996829,0.997200,0.995466,0.996065,0.993860,0.994563,0.994854,0.995611,0.995652,0.994989,0.989294,0.992020,0.985432,0.990535,0.993023,0.953771,0.982278,0.999844,0.513353,0.556054
282,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999997,0.999996,0.999995,0.999995,0.999994,0.999990,0.999988,0.999985,0.999981,0.999977,0.999973,0.999968,0.999962,0.999955,0.999947,0.999937,0.999928,0.999918,0.999904,0.999894,0.999878,0.999863,0.999849,0.999828,0.999810,0.999792,0.999767,0.999732,0.999722,0.999701,0.999664,0.999636,0.999591,0.999579,0.999510,0.999487,0.999461,0.999418,0.999378,0.999298,0.999289,0.999159,0.999186,0.999130,0.999058,0.998997,0.998967,0.998850,0.998861,0.998765,0.998707,0.998582,0.998498,0.998475,0.998397,0.998413,0.998290,0.997365,0.997898,0.997592,0.997256,0.997539,0.997571,0.997426,0.996117,0.996768,0.997145,0.995384,0.995993,0.993757,0.994470,0.994764,0.995532,0.995575,0.994902,0.989134,0.991893,0.985228,0.990387,0.992906,0.953325,0.982032,0.999840,0.513353,0.556054
281,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999999,0.999997,0.999995,0.999995,0.999995,0.999993,0.999990,0.999987,0.999984,0.999980,0.999977,0.999972,0.999967,0.999960,0.999954,0.999946,0.999935,0.999926,0.999915,0.999901,0.999891,0.999874,0.999859,0.999845,0.999823,0.999805,0.999786,0.999761,0.999725,0.999714,0.999693,0.999655,0.999626,0.999581,0.999568,0.999497,0.999474,0.999448,0.999404,0.999363,0.999281,0.999271,0.999139,0.999167,0.999109,0.999036,0.998974,0.998943,0.998824,0.998835,0.998738,0.998678,0.998551,0.998465,0.998442,0.998362,0.998379,0.998254,0.997312,0.997855,0.997543,0.997202,0.997490,0.997522,0.997375,0.996045,0.996707,0.997089,0.995302,0.995920,0.993652,0.994374,0.994673,0.995452,0.995496,0.994813,0.988973,0.991764,0.985021,0.990237,0.992788,0.952876,0.981781,0.999835,0.513353,0.556054
280,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999999,0.999997,0.999995,0.999995,0.999994,0.999993,0.999989,0.999987,0.999984,0.999980,0.999976,0.999971,0.999966,0.999959,0.999952,0.999944,0.999933,0.999923,0.999913,0.999898,0.999887,0.999870,0.999854,0.999840,0.999818,0.999799,0.999780,0.999754,0.999717,0.999707,0.999685,0.999646,0.999616,0.999570,0.999556,0.999484,0.999461,0.999434,0.999389,0.999347,0.999264,0.999254,0.999119,0.999147,0.999088,0.999013,0.998951,0.998919,0.998797,0.998809,0.998710,0.998649,0.998519,0.998432,0.998409,0.998327,0.998344,0.998217,0.997259,0.997811,0.997494,0.997148,0.997440,0.997473,0.997323,0.995972,0.996644,0.997033,0.995218,0.995845,0.993545,0.994277,0.994580,0.995371,0.995415,0.994723,0.988809,0.991634,0.984811,0.990084,0.992668,0.952422,0.981528,0.999830,0.513353,0.556054
279,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999999,0.999997,0.999995,0.999995,0.999994,0.999993,0.999989,0.999986,0.999983,0.999979,0.999975,0.999970,0.999964,0.999957,0.999951,0.999942,0.999931,0.999921,0.999910,0.999895,0.999884,0.999866,0.999850,0.999836,0.999812,0.999793,0.999774,0.999747,0.999710,0.999699,0.999676,0.999637,0.999606,0.999558,0.999545,0.999471,0.999447,0.999420,0.999374,0.999331,0.999246,0.999236,0.999098,0.999127,0.999067,0.998991,0.998927,0.998894,0.998770,0.998782,0.998681,0.998619,0.998487,0.998398,0.998375,0.998292,0.998309,0.998179,0.997205,0.997766,0.997444,0.997092,0.997389,0.997423,0.997270,0.995897,0.996580,0.996975,0.995132,0.995769,0.993436,0.994179,0.994486,0.995288,0.995333,0.994631,0.988642,0.991501,0.984598,0.989929,0.992545,0.951965,0.981271,0.999824,0.513353,0.556054
278,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999999,0.999997,0.999995,0.999994,0.999994,0.999992,0.999988,0.999986,0.999982,0.999978,0.999974,0.999969,0.999963,0.999956,0.999949,0.999940,0.999928,0.999918,0.999907,0.999892,0.999880,0.999862,0.999845,0.999831,0.999807,0.999787,0.999767,0.999740,0.999702,0.999690,0.999667,0.999627,0.999596,0.999547,0.999533,0.999458,0.999433,0.999405,0.999358,0.999314,0.999228,0.999217,0.999077,0.999106,0.999045,0.998967,0.998902,0.998869,0.998743,0.998755,0.998651,0.998588,0.998454,0.998363,0.998340,0.998255,0.998272,0.998140,0.997149,0.997720,0.997393,0.997035,0.997337,0.997371,0.997216,0.995821,0.996515,0.996916,0.995045,0.995692,0.993326,0.994079,0.994390,0.995204,0.995250,0.994538,0.988473,0.991366,0.984382,0.989772,0.992421,0.951503,0.981010,0.999819,0.513353,0.556054
277,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999998,0.999996,0.999995,0.999994,0.999994,0.999992,0.999988,0.999985,0.999982,0.999977,0.999973,0.999967,0.999962,0.999954,0.999947,0.999938,0.999926,0.999916,0.999904,0.999889,0.999876,0.999858,0.999841,0.999826,0.999801,0.999781,0.999761,0.999733,0.999693,0.999682,0.999658,0.999617,0.999585,0.999535,0.999521,0.999444,0.999419,0.999390,0.999342,0.999297,0.999209,0.999198,0.999055,0.999085,0.999023,0.998943,0.998877,0.998843,0.998714,0.998727,0.998621,0.998557,0.998420,0.998328,0.998304,0.998218,0.998235,0.998101,0.997093,0.997674,0.997340,0.996978,0.997284,0.997319,0.997161,0.995744,0.996449,0.996856,0.994957,0.995613,0.993214,0.993977,0.994292,0.995119,0.995165,0.994442,0.988302,0.991229,0.984163,0.989612,0.992294,0.951037,0.980746,0.999813,0.513353,0.556054
276,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999998,0.999996,0.999994,0.999994,0.999993,0.999992,0.999988,0.999985,0.999981,0.999976,0.999972,0.999966,0.999961,0.999953,0.999945,0.999936,0.999924,0.999913,0.999901,0.999885,0.999873,0.999854,0.999836,0.999821,0.999796,0.999775,0.999754,0.999725,0.999685,0.999673,0.999649,0.999607,0.999574,0.999523,0.999509,0.999430,0.999404,0.999375,0.999326,0.999280,0.999190,0.999179,0.999033,0.999064,0.999000,0.998919,0.998851,0.998817,0.998685,0.998698,0.998591,0.998525,0.998386,0.998292,0.998267,0.998180,0.998198,0.998061,0.997035,0.997626,0.997287,0.996919,0.997230,0.997265,0.997104,0.995665,0.996381,0.996794,0.994866,0.995533,0.993100,0.993873,0.994193,0.995031,0.995078,0.994346,0.988128,0.991090,0.983941,0.989450,0.992166,0.950567,0.980478,0.999808,0.513353,0.556054
275,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999998,1.000000,0.999998,0.999996,0.999994,0.999994,0.999993,0.999991,0.999987,0.999984,0.999980,0.999976,0.999971,0.999965,0.999959,0.999951,0.999944,0.999934,0.999921,0.999910,0.999898,0.999882,0.999869,0.999849,0.999831,0.999815,0.999790,0.999768,0.999747,0.999718,0.999676,0.999664,0.999640,0.999596,0.999563,0.999510,0.999496,0.999415,0.999389,0.999359,0.999309,0.999262,0.999170,0.999159,0.999010,0.999041,0.998976,0.998894,0.998824,0.998790,0.998656,0.998669,0.998559,0.998493,0.998351,0.998255,0.998230,0.998141,0.998159,0.998020,0.996976,0.997577,0.997233,0.996859,0.997175,0.997211,0.997047,0.995585,0.996312,0.996732,0.994775,0.995451,0.992984,0.993767,0.994092,0.994943,0.994990,0.994247,0.987952,0.990948,0.983716,0.989285,0.992035,0.950092,0.980207,0.999802,0.513353,0.556054
